<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2023-07-05T00:00:00.000000000,30766.52,30878.07,30200.0,30504.81,33215.67122,BTC/USDT
2023-07-06T00:00:00.000000000,30504.8,31500.0,29850.45,29895.43,71319.6261,BTC/USDT
2023-07-07T00:00:00.000000000,29895.42,30449.0,29701.02,30344.7,34070.53895,BTC/USDT
2023-07-08T00:00:00.000000000,30344.7,30386.81,30044.47,30284.63,13094.59042,BTC/USDT
2023-07-09T00:00:00.000000000,30284.63,30445.52,30061.12,30160.71,15388.50196,BTC/USDT
2023-07-10T00:00:00.000000000,30160.71,31045.78,29950.0,30411.57,41262.87652,BTC/USDT
2023-07-11T00:00:00.000000000,30411.57,30813.63,30300.0,30622.1,28476.83311,BTC/USDT
2023-07-12T00:00:00.000000000,30622.1,30983.25,30210.0,30380.0,38108.99669,BTC/USDT
2023-07-13T00:00:00.000000000,30380.0,31804.2,30251.0,31454.23,70772.51836,BTC/USDT
2023-07-14T00:00:00.000000000,31454.23,31630.0,29900.0,30312.01,60749.48424,BTC/USDT
2023-07-15T00:00:00.000000000,30312.0,30390.9,30200.0,30289.52,14118.55329,BTC/USDT
2023-07-16T00:00:00.000000000,30289.52,30441.46,30064.29,30231.99,15760.1281,BTC/USDT
2023-07-17T00:00:00.000000000,30232.0,30336.96,29659.2,30138.0,30882.76839,BTC/USDT
2023-07-18T00:00:00.000000000,30138.01,30239.78,29512.0,29859.13,30003.8601,BTC/USDT
2023-07-19T00:00:00.000000000,29859.14,30189.09,29761.96,29909.21,25657.36137,BTC/USDT
2023-07-20T00:00:00.000000000,29909.21,30417.46,29570.96,29800.0,37540.68193,BTC/USDT
2023-07-21T00:00:00.000000000,29800.0,30061.7,29726.34,29901.72,23881.40865,BTC/USDT
2023-07-22T00:00:00.000000000,29901.72,29999.0,29625.1,29794.0,14660.40467,BTC/USDT
2023-07-23T00:00:00.000000000,29793.99,30350.0,29730.0,30083.75,18292.78637,BTC/USDT
2023-07-24T00:00:00.000000000,30083.75,30099.58,28861.9,29176.5,39628.99691,BTC/USDT
2023-07-25T00:00:00.000000000,29176.5,29376.0,29047.65,29228.91,21565.7478,BTC/USDT
2023-07-26T00:00:00.000000000,29228.91,29690.0,29096.94,29351.96,33931.63366,BTC/USDT
2023-07-27T00:00:00.000000000,29351.95,29567.49,29083.85,29222.78,22476.47626,BTC/USDT
2023-07-28T00:00:00.000000000,29222.78,29542.22,29123.12,29314.14,23993.61627,BTC/USDT
2023-07-29T00:00:00.000000000,29314.14,29406.92,29256.18,29352.9,10851.36844,BTC/USDT
2023-07-30T00:00:00.000000000,29352.9,29449.0,29033.24,29281.09,15706.97441,BTC/USDT
2023-07-31T00:00:00.000000000,29281.09,29530.0,29101.8,29232.25,22605.48964,BTC/USDT
2023-08-01T00:00:00.000000000,29232.26,29739.25,28585.7,29705.99,44719.65162,BTC/USDT
